Date,Location,Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave
1/1/15,Red Sea,20.0248,38.4931,29.47,8.107,None,106,FALSE
1/7/15,Great Barrier Reef,-18.2988,147.7782,29.65,8.004,High,116,FALSE
1/14/15,Caribbean Sea,14.9768,-75.0233,28.86,7.947,High,90,FALSE
1/20/15,Great Barrier Reef,-18.3152,147.6486,28.97,7.995,Medium,94,FALSE
1/27/15,Galápagos,-0.8805,-90.9769,28.6,7.977,None,110,FALSE
2/2/15,Red Sea,20.0055,38.4425,29.06,8.009,Low,109,FALSE
2/9/15,South China Sea,9.9699,115.0926,28.48,7.998,None,132,FALSE
2/16/15,Red Sea,19.939,38.5104,25.56,8.042,Low,152,FALSE
2/22/15,Maldives,3.2397,73.2293,28.33,8.038,Low,99,FALSE
3/1/15,Caribbean Sea,14.964,-75.023,30.09,8.035,High,77,TRUE
3/7/15,Galápagos,-0.9376,-90.9849,27.48,8.101,None,145,FALSE
3/14/15,Caribbean Sea,15.0466,-75.042,28.04,8.076,High,139,FALSE
3/21/15,Galápagos,-0.9778,-90.9749,26.84,8.023,None,148,FALSE
3/27/15,South China Sea,10.0678,114.9964,30.01,8.038,High,95,TRUE
4/3/15,Red Sea,20.0181,38.5769,28.45,8.129,High,81,FALSE
4/9/15,South China Sea,10.0411,115.0044,28.05,8.064,Medium,94,FALSE
4/16/15,Caribbean Sea,14.989,-74.9821,30.72,7.98,High,85,TRUE
4/22/15,Caribbean Sea,14.9749,-74.9542,28.99,8.014,None,122,FALSE
4/29/15,Caribbean Sea,15.0049,-74.9516,27.45,8.055,Low,124,FALSE
5/6/15,Maldives,3.1296,73.2355,28.89,8.042,Low,112,FALSE
5/12/15,Great Barrier Reef,-18.3579,147.6782,27.99,8.02,None,122,FALSE
5/19/15,Hawaiian Islands,19.917,-155.4885,28.76,8.058,Low,116,FALSE
5/25/15,Great Barrier Reef,-18.383,147.6979,28.59,8.171,Medium,116,FALSE
6/1/15,Great Barrier Reef,-18.272,147.6975,26.75,8.142,Medium,148,FALSE
6/8/15,Red Sea,20.0396,38.4545,30.6,7.938,None,107,TRUE
6/14/15,Red Sea,20.1095,38.4505,27.65,8.072,None,120,FALSE
6/21/15,Hawaiian Islands,19.8193,-155.5794,26.91,8.106,Low,122,FALSE
6/27/15,Galápagos,-0.8763,-91.0048,28.02,8.1,High,106,FALSE
7/4/15,Galápagos,-0.9424,-90.9002,26.09,8.107,Low,148,FALSE
7/10/15,Maldives,3.2419,73.1589,26.52,8.116,High,144,FALSE
7/17/15,Red Sea,20.0125,38.5173,27.48,8.082,Medium,134,FALSE
7/24/15,Great Barrier Reef,-18.3228,147.7925,29.21,7.976,High,122,FALSE
7/30/15,Maldives,3.1541,73.2601,30.24,7.974,Low,117,TRUE
8/6/15,Red Sea,20.0206,38.5411,31.35,7.981,Medium,80,TRUE
8/12/15,South China Sea,9.9555,114.9592,28.38,8.069,Low,125,FALSE
8/19/15,Hawaiian Islands,19.9382,-155.5821,30.68,7.993,Low,138,TRUE
8/26/15,Caribbean Sea,15.0313,-75.0429,26.89,8.106,Medium,132,FALSE
9/1/15,Caribbean Sea,15.0357,-74.9763,28.39,8.01,Low,98,FALSE
9/8/15,Great Barrier Reef,-18.3094,147.742,28.82,7.981,Medium,119,FALSE
9/14/15,South China Sea,10.0193,114.9558,28.73,8.048,Medium,100,FALSE
9/21/15,Galápagos,-0.9359,-90.9376,30.12,8.07,None,83,TRUE
9/27/15,South China Sea,9.9531,115.0258,29.27,8.06,Medium,170,FALSE
10/4/15,Red Sea,20.0285,38.5568,29.93,8.054,None,100,FALSE
10/11/15,Red Sea,20.0379,38.4614,28.14,8.033,High,124,FALSE
10/17/15,Maldives,3.3185,73.1273,29.53,7.949,None,102,FALSE
10/24/15,Galápagos,-0.8994,-90.9624,26.88,8.047,None,146,FALSE
10/30/15,Great Barrier Reef,-18.3236,147.71,28.57,8.016,Low,151,FALSE
11/6/15,Great Barrier Reef,-18.2554,147.5979,28.78,8.011,None,129,FALSE
11/13/15,Galápagos,-0.9934,-90.9713,29.26,8.078,Medium,94,FALSE
11/19/15,Hawaiian Islands,19.8801,-155.6065,27.52,8.158,None,135,FALSE
11/26/15,South China Sea,9.937,115.0459,31.68,8.038,Medium,65,TRUE
12/2/15,Red Sea,19.9758,38.5633,27.44,8.093,Medium,142,FALSE
12/9/15,Hawaiian Islands,19.8505,-155.5858,23.64,8.096,High,164,FALSE
12/16/15,Galápagos,-1.0162,-90.884,26.35,8.071,Low,143,FALSE
12/22/15,Great Barrier Reef,-18.215,147.6274,30.24,8.016,Low,87,TRUE
12/29/15,South China Sea,10.0231,115.01,27.6,8.071,None,123,FALSE
1/4/16,Galápagos,-0.9481,-90.9325,30.88,7.941,Low,128,TRUE
1/11/16,Maldives,3.1052,73.2131,29.38,8.046,Low,101,FALSE
1/17/16,Hawaiian Islands,19.8864,-155.6075,27.62,8.11,Medium,134,FALSE
1/24/16,Red Sea,19.9654,38.545,28.96,8.081,High,124,FALSE
1/31/16,Galápagos,-0.9952,-90.9936,29.62,8.058,None,108,FALSE
2/6/16,Hawaiian Islands,19.9027,-155.5189,27.61,8.095,Medium,125,FALSE
2/13/16,South China Sea,9.9891,115.0549,29.74,8.066,Medium,127,FALSE
2/19/16,Great Barrier Reef,-18.286,147.7333,28.03,8.076,None,122,FALSE
2/26/16,South China Sea,10.0048,115.0298,27.27,8.179,None,117,FALSE
3/4/16,South China Sea,9.9393,115.0579,29.69,8.057,None,117,FALSE
3/10/16,Red Sea,19.9994,38.4551,28.61,8.014,Medium,133,FALSE
3/17/16,Red Sea,19.9926,38.4587,28.02,8.08,Low,116,FALSE
3/23/16,Great Barrier Reef,-18.3282,147.7114,28.87,8.017,None,109,FALSE
3/30/16,Maldives,3.2144,73.1483,26.39,8.056,Medium,137,FALSE
4/5/16,Galápagos,-0.9383,-90.8918,29.79,8.016,Medium,106,FALSE
4/12/16,Great Barrier Reef,-18.3372,147.6983,28.07,8.075,Medium,111,FALSE
4/19/16,Hawaiian Islands,19.9228,-155.5062,28.34,8.073,Medium,131,FALSE
4/25/16,Galápagos,-0.9739,-90.9544,28.52,8.055,Medium,108,FALSE
5/2/16,Maldives,3.204,73.2456,30.68,8.054,High,130,TRUE
5/8/16,Great Barrier Reef,-18.3255,147.7428,28.78,8.154,None,105,FALSE
5/15/16,Galápagos,-0.9958,-90.9956,25.31,8.087,None,140,FALSE
5/22/16,Caribbean Sea,15.0075,-74.9829,31.31,8.041,Low,83,TRUE
5/28/16,South China Sea,9.9551,115.0246,26.52,8.181,None,157,FALSE
6/4/16,Caribbean Sea,14.9765,-75.0857,30.53,8.004,Medium,118,TRUE
6/10/16,Galápagos,-1.0335,-90.9956,28.51,8.052,Low,113,FALSE
6/17/16,Caribbean Sea,15.0311,-75.0534,28.29,8.06,None,129,FALSE
6/23/16,Great Barrier Reef,-18.2515,147.643,26.2,8.16,Low,147,FALSE
6/30/16,Maldives,3.1654,73.2983,28.67,8.105,None,119,FALSE
7/7/16,Great Barrier Reef,-18.1841,147.787,28.13,8.106,None,133,FALSE
7/13/16,Maldives,3.2712,73.1725,29.53,8.082,High,83,FALSE
7/20/16,South China Sea,9.9408,114.898,28.1,8.094,None,146,FALSE
7/26/16,Great Barrier Reef,-18.2834,147.7806,26.43,8.006,None,139,FALSE
8/2/16,Red Sea,20.0192,38.4984,25.4,8.108,Low,131,FALSE
8/9/16,Galápagos,-0.9203,-90.9473,27.09,8.053,High,118,FALSE
8/15/16,Great Barrier Reef,-18.2902,147.747,27.02,8.105,Low,126,FALSE
8/22/16,Galápagos,-0.9934,-90.971,26.95,8.053,Low,117,FALSE
8/28/16,Maldives,3.301,73.2225,27.45,8.082,Medium,128,FALSE
9/4/16,Caribbean Sea,14.989,-74.9693,29.64,8.001,None,100,FALSE
9/11/16,Caribbean Sea,14.9862,-75.1151,26.23,8.164,Low,167,FALSE
9/17/16,Red Sea,19.9875,38.5288,28.97,8.195,None,132,FALSE
9/24/16,Caribbean Sea,14.9936,-75.0478,26.09,8.108,Low,132,FALSE
9/30/16,Hawaiian Islands,19.8257,-155.6151,26.88,8.167,Medium,149,FALSE
10/7/16,South China Sea,9.9996,115.074,28.62,8.005,None,141,FALSE
10/13/16,Great Barrier Reef,-18.2602,147.6473,28.21,8.012,Medium,102,FALSE
10/20/16,Great Barrier Reef,-18.2408,147.7947,26.4,8.12,High,131,FALSE
10/27/16,Great Barrier Reef,-18.3115,147.6696,27.2,8.078,Low,120,FALSE
11/2/16,Hawaiian Islands,19.9103,-155.5853,28.14,8.012,Low,114,FALSE
11/9/16,South China Sea,10.0378,115.025,27.03,8.084,Low,145,FALSE
11/15/16,Great Barrier Reef,-18.3706,147.7264,27.51,8.098,Low,118,FALSE
11/22/16,Galápagos,-1.044,-91.047,28.57,8.062,None,105,FALSE
11/29/16,South China Sea,10.0319,114.9169,28.4,7.991,High,111,FALSE
12/5/16,Maldives,3.2052,73.1777,27.92,8.112,None,117,FALSE
12/12/16,Galápagos,-0.912,-91.0221,29.29,8.106,Low,74,FALSE
12/18/16,Caribbean Sea,14.9602,-74.9711,28.2,8.075,None,113,FALSE
12/25/16,Great Barrier Reef,-18.2828,147.6914,30.25,8.028,None,107,TRUE
12/31/16,Great Barrier Reef,-18.3077,147.6748,27.85,8.083,Low,120,FALSE
1/7/17,Great Barrier Reef,-18.2726,147.803,29.81,8.008,High,124,FALSE
1/14/17,Great Barrier Reef,-18.3075,147.5973,26.99,7.987,None,129,FALSE
1/20/17,Hawaiian Islands,19.8977,-155.499,28.99,8.029,Low,127,FALSE
1/27/17,South China Sea,9.8894,115.0118,29.66,7.953,Medium,125,FALSE
2/2/17,Galápagos,-0.9369,-90.9864,29.45,8.145,None,113,FALSE
2/9/17,Great Barrier Reef,-18.2747,147.6762,27.23,8.117,High,119,FALSE
2/16/17,Hawaiian Islands,19.9004,-155.6067,29.22,8.052,High,128,FALSE
2/22/17,Hawaiian Islands,19.8713,-155.5963,27.03,8.057,High,140,FALSE
3/1/17,Galápagos,-0.916,-91.0117,29.8,8.092,High,113,FALSE
3/7/17,Maldives,3.2966,73.182,26.63,7.998,None,161,FALSE
3/14/17,Red Sea,20.0327,38.4972,28.92,7.985,High,152,FALSE
3/20/17,Caribbean Sea,15.0065,-74.9945,29.59,8.052,None,112,FALSE
3/27/17,South China Sea,9.9605,115.0236,31.32,8.061,Medium,115,TRUE
4/3/17,Red Sea,19.9744,38.4505,28.31,8.057,None,138,FALSE
4/9/17,Red Sea,19.9154,38.5765,28.26,8.033,None,107,FALSE
4/16/17,Galápagos,-1.0365,-90.9244,28.61,7.983,Low,99,FALSE
4/22/17,Hawaiian Islands,19.88,-155.4993,28.11,7.983,None,120,FALSE
4/29/17,Hawaiian Islands,19.8832,-155.7176,28.42,8.04,Low,131,FALSE
5/6/17,Great Barrier Reef,-18.1947,147.7555,28.1,8.003,High,162,FALSE
5/12/17,South China Sea,10.003,115.0007,28.46,8.061,Low,118,FALSE
5/19/17,South China Sea,9.9713,114.9727,28.45,8.024,High,109,FALSE
5/25/17,Hawaiian Islands,19.9021,-155.5955,30.76,7.872,None,113,TRUE
6/1/17,Hawaiian Islands,19.9591,-155.6865,27.99,8.042,None,104,FALSE
6/7/17,South China Sea,9.9611,114.9445,31.13,8.044,Low,112,TRUE
6/14/17,Red Sea,20.0361,38.4435,27.71,8.09,Medium,109,FALSE
6/21/17,Galápagos,-0.9182,-90.9776,27.94,8.097,Medium,132,FALSE
6/27/17,South China Sea,9.982,115.058,26.88,8.113,None,145,FALSE
7/4/17,Hawaiian Islands,19.8813,-155.5665,26.62,8.134,Medium,135,FALSE
7/10/17,Galápagos,-0.9799,-90.9131,27.44,8.001,None,107,FALSE
7/17/17,Hawaiian Islands,19.9271,-155.6468,31.13,7.893,High,119,TRUE
7/24/17,Great Barrier Reef,-18.2765,147.6944,27.68,8.086,High,127,FALSE
7/30/17,Great Barrier Reef,-18.2319,147.7049,28.73,8.027,Low,116,FALSE
8/6/17,Hawaiian Islands,19.9122,-155.6683,26.48,8.128,High,142,FALSE
8/12/17,Hawaiian Islands,19.8876,-155.5819,29.02,8.013,Low,103,FALSE
8/19/17,South China Sea,10.0098,114.9511,29.11,7.953,Medium,129,FALSE
8/26/17,Maldives,3.2264,73.2335,29.97,8.104,Low,120,FALSE
9/1/17,Great Barrier Reef,-18.3791,147.6352,27.56,8.07,Low,137,FALSE
9/8/17,South China Sea,9.9637,115.0093,27.37,8.042,Medium,110,FALSE
9/14/17,Hawaiian Islands,19.8506,-155.6504,27.04,8.132,Low,120,FALSE
9/21/17,Maldives,3.3344,73.2454,28.78,8.002,High,127,FALSE
9/27/17,Great Barrier Reef,-18.3159,147.7053,32.34,7.968,Medium,98,TRUE
10/4/17,Caribbean Sea,14.9648,-75.0017,31.16,7.966,Medium,120,TRUE
10/11/17,Great Barrier Reef,-18.2517,147.6711,29.45,8.08,None,119,FALSE
10/17/17,Red Sea,19.9215,38.4636,28.13,8.054,Low,133,FALSE
10/24/17,South China Sea,10.0089,114.9332,29.07,8.069,High,122,FALSE
10/30/17,Maldives,3.2568,73.2624,29.19,8.033,Low,88,FALSE
11/6/17,Great Barrier Reef,-18.2656,147.7096,28.91,7.978,Medium,99,FALSE
11/13/17,Great Barrier Reef,-18.2344,147.6972,29.52,8.031,High,110,FALSE
11/19/17,Galápagos,-0.9069,-90.9914,28.64,8.024,Low,112,FALSE
11/26/17,Hawaiian Islands,19.8813,-155.5717,27.78,8.127,Medium,113,FALSE
12/2/17,Galápagos,-0.9631,-90.9876,30.67,8.016,Low,113,TRUE
12/9/17,Galápagos,-1.0281,-90.9522,29.83,8.027,None,122,FALSE
12/15/17,Great Barrier Reef,-18.313,147.7697,31.95,7.963,High,78,TRUE
12/22/17,Maldives,3.2755,73.2997,27.72,8.045,None,123,FALSE
12/29/17,South China Sea,9.9328,114.9541,26.99,8.042,Low,134,FALSE
1/4/18,Red Sea,20.0117,38.5775,27,8.129,High,131,FALSE
1/11/18,Maldives,3.2003,73.2544,26.82,8.103,Medium,139,FALSE
1/17/18,Great Barrier Reef,-18.2625,147.7137,32.18,7.944,Low,75,TRUE
1/24/18,Great Barrier Reef,-18.3183,147.6714,27.54,8.129,None,150,FALSE
1/31/18,Red Sea,19.9715,38.4584,29.21,8.008,None,122,FALSE
2/6/18,Great Barrier Reef,-18.277,147.6234,30.82,8.093,High,87,TRUE
2/13/18,Maldives,3.1834,73.235,29,8.073,Low,145,FALSE
2/19/18,Great Barrier Reef,-18.2959,147.6593,26.43,8.055,Medium,140,FALSE
2/26/18,Galápagos,-0.8641,-90.9915,28.84,8.042,Low,134,FALSE
3/4/18,Hawaiian Islands,20.0231,-155.6093,27.77,8.117,High,137,FALSE
3/11/18,Red Sea,20.0923,38.5292,27.96,8.09,Low,142,FALSE
3/18/18,Maldives,3.2438,73.2461,30.1,8.076,Low,124,TRUE
3/24/18,Great Barrier Reef,-18.2547,147.6908,28.72,8.106,Low,105,FALSE
3/31/18,Maldives,3.2212,73.201,28.54,8.113,None,122,FALSE
4/6/18,Great Barrier Reef,-18.2848,147.6312,29.62,8.06,None,141,FALSE
4/13/18,Caribbean Sea,14.9846,-74.989,28.87,8.121,Low,114,FALSE
4/20/18,Galápagos,-0.9398,-90.9352,28.78,8.022,Medium,120,FALSE
4/26/18,Hawaiian Islands,19.9505,-155.6341,28.7,8.011,None,135,FALSE
5/3/18,Great Barrier Reef,-18.3633,147.6713,29.07,8.117,None,113,FALSE
5/9/18,Great Barrier Reef,-18.3149,147.7933,26.33,7.984,Medium,148,FALSE
5/16/18,Maldives,3.1777,73.1696,29.56,8.041,None,100,FALSE
5/23/18,Hawaiian Islands,19.8328,-155.5392,29.48,8.026,None,137,FALSE
5/29/18,Maldives,3.1493,73.1444,27.46,8.068,Low,134,FALSE
6/5/18,Maldives,3.1907,73.2383,26.62,8.16,None,137,FALSE
6/11/18,Great Barrier Reef,-18.2312,147.7163,29.19,8.065,Low,119,FALSE
6/18/18,Hawaiian Islands,19.9289,-155.5163,28.79,8.08,Low,115,FALSE
6/24/18,Hawaiian Islands,19.9688,-155.6166,31.2,7.994,High,71,TRUE
7/1/18,Hawaiian Islands,19.9032,-155.6169,29.76,7.992,Medium,100,FALSE
7/8/18,Caribbean Sea,14.9055,-75.0226,24.86,8.044,Medium,167,FALSE
7/14/18,Caribbean Sea,15.0393,-74.9787,27.05,8.077,None,134,FALSE
7/21/18,Great Barrier Reef,-18.345,147.7744,29.82,8.013,None,107,FALSE
7/27/18,South China Sea,10.0104,114.8979,28.13,8.023,Low,108,FALSE
8/3/18,Red Sea,19.9859,38.5899,29.46,8.002,High,118,FALSE
8/10/18,Hawaiian Islands,19.9668,-155.5366,28.59,8.016,None,129,FALSE
8/16/18,Great Barrier Reef,-18.2674,147.744,29.45,8.083,Medium,102,FALSE
8/23/18,South China Sea,10.0659,115.0099,31.61,7.953,None,114,TRUE
8/29/18,Caribbean Sea,15.0099,-75.0326,27.77,8.048,High,133,FALSE
9/5/18,Red Sea,20.0261,38.4713,28.46,8.158,Low,146,FALSE
9/11/18,Maldives,3.2246,73.2226,28.68,8.077,Medium,102,FALSE
9/18/18,Maldives,3.1899,73.1373,29.1,8.07,Medium,106,FALSE
9/25/18,Hawaiian Islands,19.9755,-155.6441,26.3,8.105,None,157,FALSE
10/1/18,Galápagos,-0.8696,-90.9885,30.12,8.016,None,101,TRUE
10/8/18,Red Sea,20.0442,38.5326,26.14,8.171,Low,164,FALSE
10/14/18,Caribbean Sea,14.9687,-74.9802,29.24,8.048,Low,104,FALSE
10/21/18,Great Barrier Reef,-18.3207,147.6979,30.26,8.042,Low,96,TRUE
10/28/18,Caribbean Sea,15.0386,-75.1424,30.22,7.929,None,97,TRUE
11/3/18,Great Barrier Reef,-18.3431,147.6345,30.24,7.992,Low,107,TRUE
11/10/18,Hawaiian Islands,19.8945,-155.5589,28.62,7.984,High,133,FALSE
11/16/18,Red Sea,19.9753,38.4222,27.86,8.138,None,139,FALSE
11/23/18,Great Barrier Reef,-18.3045,147.6817,28.02,8.163,None,130,FALSE
11/29/18,Caribbean Sea,15.0215,-74.9485,28.86,8.03,Medium,113,FALSE
12/6/18,Hawaiian Islands,19.8932,-155.5847,29.59,8.031,High,120,FALSE
12/13/18,Hawaiian Islands,19.8928,-155.5789,25.5,8.156,None,155,FALSE
12/19/18,Caribbean Sea,15.0499,-75.1448,31.63,7.98,Medium,105,TRUE
12/26/18,Red Sea,19.948,38.5306,26.92,8.05,None,164,FALSE
1/1/19,Great Barrier Reef,-18.2966,147.7101,29.81,8.049,Medium,109,FALSE
1/8/19,South China Sea,10.0182,115.1202,28.41,8.062,High,136,FALSE
1/15/19,Red Sea,20.0553,38.5594,29.46,7.974,High,134,FALSE
1/21/19,South China Sea,9.9427,115.0151,27.37,8.069,Low,136,FALSE
1/28/19,Red Sea,20.0161,38.5211,30.92,8.024,None,92,TRUE
2/3/19,Great Barrier Reef,-18.2389,147.7587,26.66,8.117,None,148,FALSE
2/10/19,Hawaiian Islands,19.8819,-155.514,28.27,8.061,High,119,FALSE
2/17/19,Red Sea,20.0008,38.4452,26.34,8.173,High,128,FALSE
2/23/19,Galápagos,-1.0034,-91.0733,27.54,8.003,None,154,FALSE
3/2/19,Galápagos,-0.9033,-91,31.88,8.032,High,81,TRUE
3/8/19,Hawaiian Islands,19.7718,-155.4683,26.42,8.009,Medium,156,FALSE
3/15/19,Red Sea,20.122,38.5692,29.35,8.063,None,124,FALSE
3/21/19,South China Sea,10.0379,115.0141,28.66,8.044,None,107,FALSE
3/28/19,Caribbean Sea,14.986,-75.0846,28.35,8.004,Low,104,FALSE
4/4/19,Red Sea,20.009,38.5696,29.88,7.944,Low,91,FALSE
4/10/19,South China Sea,10.047,114.9509,28.16,8.084,None,108,FALSE
4/17/19,Red Sea,20.0053,38.4333,27.6,8.084,Low,105,FALSE
4/23/19,Maldives,3.2248,73.2197,29.33,8.045,Medium,132,FALSE
4/30/19,Red Sea,20.0063,38.4785,28.68,8.073,None,118,FALSE
5/7/19,Maldives,3.2048,73.1856,27.51,8,Medium,156,FALSE
5/13/19,Hawaiian Islands,19.8346,-155.6174,27.42,8.116,Low,126,FALSE
5/20/19,Hawaiian Islands,19.9592,-155.6165,28.92,8,None,147,FALSE
5/26/19,Maldives,3.1434,73.2362,29.45,8.052,High,107,FALSE
6/2/19,Caribbean Sea,14.9935,-74.9978,28.28,8.103,Medium,155,FALSE
6/8/19,Caribbean Sea,14.9721,-75.0685,28.37,8.182,Medium,109,FALSE
6/15/19,Great Barrier Reef,-18.2051,147.7831,27.67,8.095,Medium,152,FALSE
